"RTENO","reclass","buffer","YEAR","total_pix","km2"
"66001","2","200",1992,2835,2.5515
"66001","2","400",1992,3869,3.4821
"66001","2","1000",1992,7447,6.7023
"66001","2","2000",1992,19434,17.4906
"66001","2","5000",1992,52058,46.8522
"66001","2","10000",1992,103693,93.3237
"66001","4","200",1992,0,0
"66001","4","400",1992,0,0
"66001","4","1000",1992,0,0
"66001","4","2000",1992,6774,6.0966
"66001","4","5000",1992,17932,16.1388
"66001","4","10000",1992,68984,62.0856
"66001","5","200",1992,0,0
"66001","5","400",1992,0,0
"66001","5","1000",1992,0,0
"66001","5","2000",1992,0,0
"66001","5","5000",1992,2512,2.2608
"66001","5","10000",1992,5567,5.0103
"66001","6","200",1992,12854,11.5686
"66001","6","400",1992,27521,24.7689
"66001","6","1000",1992,70656,63.5904
"66001","6","2000",1992,140227,126.2043
"66001","6","5000",1992,404983,364.4847
"66001","6","10000",1992,955053,859.5477
"66001","1","200",1992,0,0
"66001","1","400",1992,-4,-0.0036
"66001","1","1000",1992,7,0.0063
"66001","1","2000",1992,56,0.0504
"66001","1","5000",1992,1408,1.2672
"66001","1","10000",1992,2435,2.1915
"66001","7","200",1992,0,0
"66001","7","400",1992,530,0.477
"66001","7","1000",1992,1155,1.0395
"66001","7","2000",1992,2215,1.9935
"66001","7","5000",1992,4476,4.0284
"66001","7","10000",1992,9228,8.3052
"66001","3","200",1992,0,0
"66001","3","400",1992,10,0.009
"66001","3","1000",1992,106,0.0954
"66001","3","2000",1992,190,0.171
"66001","3","5000",1992,456,0.4104
"66001","3","10000",1992,1124,1.0116
"66001","2","200",1993,2851.88888888889,2.5667
"66001","2","400",1993,3892.44444444444,3.5032
"66001","2","1000",1993,7527.22222222222,6.7745
"66001","2","2000",1993,19612.1111111111,17.6509
"66001","2","5000",1993,52308.3333333333,47.0775
"66001","2","10000",1993,103896.222222222,93.5066
"66001","4","200",1993,75.7777777777778,0.0682
"66001","4","400",1993,150.444444444444,0.1354
"66001","4","1000",1993,486,0.4374
"66001","4","2000",1993,6812,6.1308
"66001","4","5000",1993,18220,16.398
"66001","4","10000",1993,68993.1111111111,62.0938
"66001","5","200",1993,18.8888888888889,0.017
"66001","5","400",1993,26.8888888888889,0.0242
"66001","5","1000",1993,53.8888888888889,0.0485
"66001","5","2000",1993,142,0.1278
"66001","5","5000",1993,2520,2.268
"66001","5","10000",1993,5568,5.0112
"66001","6","200",1993,12889.5555555556,11.6006
"66001","6","400",1993,27615.7777777778,24.8542
"66001","6","1000",1993,70968.8888888889,63.872
"66001","6","2000",1993,141237.555555556,127.1138
"66001","6","5000",1993,405778.444444444,365.2006
"66001","6","10000",1993,954728.777777778,859.2559
"66001","1","200",1993,0,0
"66001","1","400",1993,-3.33333333333333,-0.003
"66001","1","1000",1993,13.3333333333333,0.012
"66001","1","2000",1993,70.4444444444444,0.0634
"66001","1","5000",1993,1448.33333333333,1.3035
"66001","1","10000",1993,2511.11111111111,2.26
"66001","7","200",1993,39,0.0351
"66001","7","400",1993,563.777777777778,0.5074
"66001","7","1000",1993,1215.11111111111,1.0936
"66001","7","2000",1993,2293,2.0637
"66001","7","5000",1993,4798.88888888889,4.319
"66001","7","10000",1993,10322.2222222222,9.29
"66001","3","200",1993,3.22222222222222,0.0029
"66001","3","400",1993,13.2222222222222,0.0119
"66001","3","1000",1993,113.111111111111,0.1018
"66001","3","2000",1993,197.111111111111,0.1774
"66001","3","5000",1993,485.777777777778,0.4372
"66001","3","10000",1993,1155.77777777778,1.0402
"66001","2","200",1994,2868.77777777778,2.5819
"66001","2","400",1994,3915.88888888889,3.5243
"66001","2","1000",1994,7607.44444444445,6.8467
"66001","2","2000",1994,19790.2222222222,17.8112
"66001","2","5000",1994,52558.6666666667,47.3028
"66001","2","10000",1994,104099.444444444,93.6895
"66001","4","200",1994,151.555555555556,0.1364
"66001","4","400",1994,300.888888888889,0.2708
"66001","4","1000",1994,972,0.8748
"66001","4","2000",1994,6850,6.165
"66001","4","5000",1994,18508,16.6572
"66001","4","10000",1994,69002.2222222222,62.102
"66001","5","200",1994,37.7777777777778,0.034
"66001","5","400",1994,53.7777777777778,0.0484
"66001","5","1000",1994,107.777777777778,0.097
"66001","5","2000",1994,284,0.2556
"66001","5","5000",1994,2528,2.2752
"66001","5","10000",1994,5569,5.0121
"66001","6","200",1994,12925.1111111111,11.6326
"66001","6","400",1994,27710.5555555556,24.9395
"66001","6","1000",1994,71281.7777777778,64.1536
"66001","6","2000",1994,142248.111111111,128.0233
"66001","6","5000",1994,406573.888888889,365.9165
"66001","6","10000",1994,954404.555555556,858.9641
"66001","1","200",1994,0,0
"66001","1","400",1994,-2.66666666666667,-0.0024
"66001","1","1000",1994,19.6666666666667,0.0177
"66001","1","2000",1994,84.8888888888889,0.0764
"66001","1","5000",1994,1488.66666666667,1.3398
"66001","1","10000",1994,2587.22222222222,2.3285
"66001","7","200",1994,78,0.0702
"66001","7","400",1994,597.555555555556,0.5378
"66001","7","1000",1994,1275.22222222222,1.1477
"66001","7","2000",1994,2371,2.1339
"66001","7","5000",1994,5121.77777777778,4.6096
"66001","7","10000",1994,11416.4444444444,10.2748
"66001","3","200",1994,6.44444444444444,0.0058
"66001","3","400",1994,16.4444444444444,0.0148
"66001","3","1000",1994,120.222222222222,0.1082
"66001","3","2000",1994,204.222222222222,0.1838
"66001","3","5000",1994,515.555555555556,0.464
"66001","3","10000",1994,1187.55555555556,1.0688
"66001","2","200",1995,2885.66666666667,2.5971
"66001","2","400",1995,3939.33333333333,3.5454
"66001","2","1000",1995,7687.66666666667,6.9189
"66001","2","2000",1995,19968.3333333333,17.9715
"66001","2","5000",1995,52809,47.5281
"66001","2","10000",1995,104302.666666667,93.8724
"66001","4","200",1995,227.333333333333,0.2046
"66001","4","400",1995,451.333333333333,0.4062
"66001","4","1000",1995,1458,1.3122
"66001","4","2000",1995,6888,6.1992
"66001","4","5000",1995,18796,16.9164
"66001","4","10000",1995,69011.3333333333,62.1102
"66001","5","200",1995,56.6666666666667,0.051
"66001","5","400",1995,80.6666666666667,0.0726
"66001","5","1000",1995,161.666666666667,0.1455
"66001","5","2000",1995,426,0.3834
"66001","5","5000",1995,2536,2.2824
"66001","5","10000",1995,5570,5.013
"66001","6","200",1995,12960.6666666667,11.6646
"66001","6","400",1995,27805.3333333333,25.0248
"66001","6","1000",1995,71594.6666666667,64.4352
"66001","6","2000",1995,143258.666666667,128.9328
"66001","6","5000",1995,407369.333333333,366.6324
"66001","6","10000",1995,954080.333333333,858.6723
"66001","1","200",1995,0,0
"66001","1","400",1995,-2,-0.0018
"66001","1","1000",1995,26,0.0234
"66001","1","2000",1995,99.3333333333333,0.0894
"66001","1","5000",1995,1529,1.3761
"66001","1","10000",1995,2663.33333333333,2.397
"66001","7","200",1995,117,0.1053
"66001","7","400",1995,631.333333333333,0.5682
"66001","7","1000",1995,1335.33333333333,1.2018
"66001","7","2000",1995,2449,2.2041
"66001","7","5000",1995,5444.66666666667,4.9002
"66001","7","10000",1995,12510.6666666667,11.2596
"66001","3","200",1995,9.66666666666667,0.0087
"66001","3","400",1995,19.6666666666667,0.0177
"66001","3","1000",1995,127.333333333333,0.1146
"66001","3","2000",1995,211.333333333333,0.1902
"66001","3","5000",1995,545.333333333333,0.4908
"66001","3","10000",1995,1219.33333333333,1.0974
"66001","2","200",1996,2902.55555555556,2.6123
"66001","2","400",1996,3962.77777777778,3.5665
"66001","2","1000",1996,7767.88888888889,6.9911
"66001","2","2000",1996,20146.4444444444,18.1318
"66001","2","5000",1996,53059.3333333333,47.7534
"66001","2","10000",1996,104505.888888889,94.0553
"66001","4","200",1996,303.111111111111,0.2728
"66001","4","400",1996,601.777777777778,0.5416
"66001","4","1000",1996,1944,1.7496
"66001","4","2000",1996,6926,6.2334
"66001","4","5000",1996,19084,17.1756
"66001","4","10000",1996,69020.4444444444,62.1184
"66001","5","200",1996,75.5555555555556,0.068
"66001","5","400",1996,107.555555555556,0.0968
"66001","5","1000",1996,215.555555555556,0.194
"66001","5","2000",1996,568,0.5112
"66001","5","5000",1996,2544,2.2896
"66001","5","10000",1996,5571,5.0139
"66001","6","200",1996,12996.2222222222,11.6966
"66001","6","400",1996,27900.1111111111,25.1101
"66001","6","1000",1996,71907.5555555555,64.7168
"66001","6","2000",1996,144269.222222222,129.8423
"66001","6","5000",1996,408164.777777778,367.3483
"66001","6","10000",1996,953756.111111111,858.3805
"66001","1","200",1996,0,0
"66001","1","400",1996,-1.33333333333333,-0.0012
"66001","1","1000",1996,32.3333333333333,0.0291
"66001","1","2000",1996,113.777777777778,0.1024
"66001","1","5000",1996,1569.33333333333,1.4124
"66001","1","10000",1996,2739.44444444444,2.4655
"66001","7","200",1996,156,0.1404
"66001","7","400",1996,665.111111111111,0.5986
"66001","7","1000",1996,1395.44444444444,1.2559
"66001","7","2000",1996,2527,2.2743
"66001","7","5000",1996,5767.55555555556,5.1908
"66001","7","10000",1996,13604.8888888889,12.2444
"66001","3","200",1996,12.8888888888889,0.0116
"66001","3","400",1996,22.8888888888889,0.0206
"66001","3","1000",1996,134.444444444444,0.121
"66001","3","2000",1996,218.444444444444,0.1966
"66001","3","5000",1996,575.111111111111,0.5176
"66001","3","10000",1996,1251.11111111111,1.126
"66001","2","200",1997,2919.44444444444,2.6275
"66001","2","400",1997,3986.22222222222,3.5876
"66001","2","1000",1997,7848.11111111111,7.0633
"66001","2","2000",1997,20324.5555555556,18.2921
"66001","2","5000",1997,53309.6666666667,47.9787
"66001","2","10000",1997,104709.111111111,94.2382
"66001","4","200",1997,378.888888888889,0.341
"66001","4","400",1997,752.222222222222,0.677
"66001","4","1000",1997,2430,2.187
"66001","4","2000",1997,6964,6.2676
"66001","4","5000",1997,19372,17.4348
"66001","4","10000",1997,69029.5555555556,62.1266
"66001","5","200",1997,94.4444444444444,0.085
"66001","5","400",1997,134.444444444444,0.121
"66001","5","1000",1997,269.444444444444,0.2425
"66001","5","2000",1997,710,0.639
"66001","5","5000",1997,2552,2.2968
"66001","5","10000",1997,5572,5.0148
"66001","6","200",1997,13031.7777777778,11.7286
"66001","6","400",1997,27994.8888888889,25.1954
"66001","6","1000",1997,72220.4444444445,64.9984
"66001","6","2000",1997,145279.777777778,130.7518
"66001","6","5000",1997,408960.222222222,368.0642
"66001","6","10000",1997,953431.888888889,858.0887
"66001","1","200",1997,0,0
"66001","1","400",1997,-0.666666666666667,-6e-04
"66001","1","1000",1997,38.6666666666667,0.0348
"66001","1","2000",1997,128.222222222222,0.1154
"66001","1","5000",1997,1609.66666666667,1.4487
"66001","1","10000",1997,2815.55555555556,2.534
"66001","7","200",1997,195,0.1755
"66001","7","400",1997,698.888888888889,0.629
"66001","7","1000",1997,1455.55555555556,1.31
"66001","7","2000",1997,2605,2.3445
"66001","7","5000",1997,6090.44444444444,5.4814
"66001","7","10000",1997,14699.1111111111,13.2292
"66001","3","200",1997,16.1111111111111,0.0145
"66001","3","400",1997,26.1111111111111,0.0235
"66001","3","1000",1997,141.555555555556,0.1274
"66001","3","2000",1997,225.555555555556,0.203
"66001","3","5000",1997,604.888888888889,0.5444
"66001","3","10000",1997,1282.88888888889,1.1546
"66001","2","200",1998,2936.33333333333,2.6427
"66001","2","400",1998,4009.66666666667,3.6087
"66001","2","1000",1998,7928.33333333333,7.1355
"66001","2","2000",1998,20502.6666666667,18.4524
"66001","2","5000",1998,53560,48.204
"66001","2","10000",1998,104912.333333333,94.4211
"66001","4","200",1998,454.666666666667,0.4092
"66001","4","400",1998,902.666666666667,0.8124
"66001","4","1000",1998,2916,2.6244
"66001","4","2000",1998,7002,6.3018
"66001","4","5000",1998,19660,17.694
"66001","4","10000",1998,69038.6666666667,62.1348
"66001","5","200",1998,113.333333333333,0.102
"66001","5","400",1998,161.333333333333,0.1452
"66001","5","1000",1998,323.333333333333,0.291
"66001","5","2000",1998,852,0.7668
"66001","5","5000",1998,2560,2.304
"66001","5","10000",1998,5573,5.0157
"66001","6","200",1998,13067.3333333333,11.7606
"66001","6","400",1998,28089.6666666667,25.2807
"66001","6","1000",1998,72533.3333333333,65.28
"66001","6","2000",1998,146290.333333333,131.6613
"66001","6","5000",1998,409755.666666667,368.7801
"66001","6","10000",1998,953107.666666667,857.7969
"66001","1","200",1998,0,0
"66001","1","400",1998,0,0
"66001","1","1000",1998,45,0.0405
"66001","1","2000",1998,142.666666666667,0.1284
"66001","1","5000",1998,1650,1.485
"66001","1","10000",1998,2891.66666666667,2.6025
"66001","7","200",1998,234,0.2106
"66001","7","400",1998,732.666666666667,0.6594
"66001","7","1000",1998,1515.66666666667,1.3641
"66001","7","2000",1998,2683,2.4147
"66001","7","5000",1998,6413.33333333333,5.772
"66001","7","10000",1998,15793.3333333333,14.214
"66001","3","200",1998,19.3333333333333,0.0174
"66001","3","400",1998,29.3333333333333,0.0264
"66001","3","1000",1998,148.666666666667,0.1338
"66001","3","2000",1998,232.666666666667,0.2094
"66001","3","5000",1998,634.666666666667,0.5712
"66001","3","10000",1998,1314.66666666667,1.1832
"66001","2","200",1999,2953.22222222222,2.6579
"66001","2","400",1999,4033.11111111111,3.6298
"66001","2","1000",1999,8008.55555555555,7.2077
"66001","2","2000",1999,20680.7777777778,18.6127
"66001","2","5000",1999,53810.3333333333,48.4293
"66001","2","10000",1999,105115.555555556,94.604
"66001","4","200",1999,530.444444444444,0.4774
"66001","4","400",1999,1053.11111111111,0.9478
"66001","4","1000",1999,3402,3.0618
"66001","4","2000",1999,7040,6.336
"66001","4","5000",1999,19948,17.9532
"66001","4","10000",1999,69047.7777777778,62.143
"66001","5","200",1999,132.222222222222,0.119
"66001","5","400",1999,188.222222222222,0.1694
"66001","5","1000",1999,377.222222222222,0.3395
"66001","5","2000",1999,994,0.8946
"66001","5","5000",1999,2568,2.3112
"66001","5","10000",1999,5574,5.0166
"66001","6","200",1999,13102.8888888889,11.7926
"66001","6","400",1999,28184.4444444444,25.366
"66001","6","1000",1999,72846.2222222222,65.5616
"66001","6","2000",1999,147300.888888889,132.5708
"66001","6","5000",1999,410551.111111111,369.496
"66001","6","10000",1999,952783.444444444,857.5051
"66001","1","200",1999,0,0
"66001","1","400",1999,0.666666666666666,0.000599999999999999
"66001","1","1000",1999,51.3333333333333,0.0462
"66001","1","2000",1999,157.111111111111,0.1414
"66001","1","5000",1999,1690.33333333333,1.5213
"66001","1","10000",1999,2967.77777777778,2.671
"66001","7","200",1999,273,0.2457
"66001","7","400",1999,766.444444444444,0.6898
"66001","7","1000",1999,1575.77777777778,1.4182
"66001","7","2000",1999,2761,2.4849
"66001","7","5000",1999,6736.22222222222,6.0626
"66001","7","10000",1999,16887.5555555556,15.1988
"66001","3","200",1999,22.5555555555556,0.0203
"66001","3","400",1999,32.5555555555556,0.0293
"66001","3","1000",1999,155.777777777778,0.1402
"66001","3","2000",1999,239.777777777778,0.2158
"66001","3","5000",1999,664.444444444444,0.598
"66001","3","10000",1999,1346.44444444444,1.2118
"66001","2","200",2000,2970.11111111111,2.6731
"66001","2","400",2000,4056.55555555556,3.6509
"66001","2","1000",2000,8088.77777777778,7.2799
"66001","2","2000",2000,20858.8888888889,18.773
"66001","2","5000",2000,54060.6666666667,48.6546
"66001","2","10000",2000,105318.777777778,94.7869
"66001","4","200",2000,606.222222222222,0.5456
"66001","4","400",2000,1203.55555555556,1.0832
"66001","4","1000",2000,3888,3.4992
"66001","4","2000",2000,7078,6.3702
"66001","4","5000",2000,20236,18.2124
"66001","4","10000",2000,69056.8888888889,62.1512
"66001","5","200",2000,151.111111111111,0.136
"66001","5","400",2000,215.111111111111,0.1936
"66001","5","1000",2000,431.111111111111,0.388
"66001","5","2000",2000,1136,1.0224
"66001","5","5000",2000,2576,2.3184
"66001","5","10000",2000,5575,5.0175
"66001","6","200",2000,13138.4444444444,11.8246
"66001","6","400",2000,28279.2222222222,25.4513
"66001","6","1000",2000,73159.1111111111,65.8432
"66001","6","2000",2000,148311.444444444,133.4803
"66001","6","5000",2000,411346.555555556,370.2119
"66001","6","10000",2000,952459.222222222,857.2133
"66001","1","200",2000,0,0
"66001","1","400",2000,1.33333333333333,0.0012
"66001","1","1000",2000,57.6666666666667,0.0519
"66001","1","2000",2000,171.555555555556,0.1544
"66001","1","5000",2000,1730.66666666667,1.5576
"66001","1","10000",2000,3043.88888888889,2.7395
"66001","7","200",2000,312,0.2808
"66001","7","400",2000,800.222222222222,0.7202
"66001","7","1000",2000,1635.88888888889,1.4723
"66001","7","2000",2000,2839,2.5551
"66001","7","5000",2000,7059.11111111111,6.3532
"66001","7","10000",2000,17981.7777777778,16.1836
"66001","3","200",2000,25.7777777777778,0.0232
"66001","3","400",2000,35.7777777777778,0.0322
"66001","3","1000",2000,162.888888888889,0.1466
"66001","3","2000",2000,246.888888888889,0.2222
"66001","3","5000",2000,694.222222222222,0.6248
"66001","3","10000",2000,1378.22222222222,1.2404
"66001","2","200",2001,2987,2.6883
"66001","2","400",2001,4080,3.672
"66001","2","1000",2001,8169,7.3521
"66001","2","2000",2001,21037,18.9333
"66001","2","5000",2001,54311,48.8799
"66001","2","10000",2001,105675,95.1075
"66001","4","200",2001,682,0.6138
"66001","4","400",2001,1354,1.2186
"66001","4","1000",2001,4374,3.9366
"66001","4","2000",2001,7116,6.4044
"66001","4","5000",2001,20524,18.4716
"66001","4","10000",2001,69185,62.2665
"66001","5","200",2001,170,0.153
"66001","5","400",2001,242,0.2178
"66001","5","1000",2001,485,0.4365
"66001","5","2000",2001,1278,1.1502
"66001","5","5000",2001,2584,2.3256
"66001","5","10000",2001,5597,5.0373
"66001","6","200",2001,13174,11.8566
"66001","6","400",2001,28374,25.5366
"66001","6","1000",2001,73472,66.1248
"66001","6","2000",2001,149322,134.3898
"66001","6","5000",2001,412142,370.9278
"66001","6","10000",2001,952479,857.2311
"66001","1","200",2001,0,0
"66001","1","400",2001,2,0.0018
"66001","1","1000",2001,64,0.0576
"66001","1","2000",2001,186,0.1674
"66001","1","5000",2001,1771,1.5939
"66001","1","10000",2001,3120,2.808
"66001","7","200",2001,351,0.3159
"66001","7","400",2001,834,0.7506
"66001","7","1000",2001,1696,1.5264
"66001","7","2000",2001,2917,2.6253
"66001","7","5000",2001,7382,6.6438
"66001","7","10000",2001,19076,17.1684
"66001","3","200",2001,29,0.0261
"66001","3","400",2001,39,0.0351
"66001","3","1000",2001,170,0.153
"66001","3","2000",2001,254,0.2286
"66001","3","5000",2001,724,0.6516
"66001","3","10000",2001,1410,1.269
"66001","2","200",2002,2993.8,2.69442
"66001","2","400",2002,4114.4,3.70296
"66001","2","1000",2002,8290.6,7.46154
"66001","2","2000",2002,21164.4,19.04796
"66001","2","5000",2002,54477.2,49.02948
"66001","2","10000",2002,105923.6,95.33124
"66001","4","200",2002,682,0.6138
"66001","4","400",2002,1354,1.2186
"66001","4","1000",2002,4370,3.933
"66001","4","2000",2002,7112,6.4008
"66001","4","5000",2002,20516.4,18.46476
"66001","4","10000",2002,69171.2,62.25408
"66001","5","200",2002,170,0.153
"66001","5","400",2002,242,0.2178
"66001","5","1000",2002,485,0.4365
"66001","5","2000",2002,1272.2,1.14498
"66001","5","5000",2002,2578,2.3202
"66001","5","10000",2002,5591,5.0319
"66001","6","200",2002,13167.2,11.85048
"66001","6","400",2002,28340.6,25.50654
"66001","6","1000",2002,73351.4,66.01626
"66001","6","2000",2002,149201.4,134.28126
"66001","6","5000",2002,411972.2,370.77498
"66001","6","10000",2002,952208.4,856.98756
"66001","1","200",2002,0,0
"66001","1","400",2002,2,0.0018
"66001","1","1000",2002,63.6,0.05724
"66001","1","2000",2002,185.6,0.16704
"66001","1","5000",2002,1772.4,1.59516
"66001","1","10000",2002,3136,2.8224
"66001","7","200",2002,351,0.3159
"66001","7","400",2002,834,0.7506
"66001","7","1000",2002,1696,1.5264
"66001","7","2000",2002,2917,2.6253
"66001","7","5000",2002,7398.4,6.65856
"66001","7","10000",2002,19110.6,17.19954
"66001","3","200",2002,29,0.0261
"66001","3","400",2002,38,0.0342
"66001","3","1000",2002,173.4,0.15606
"66001","3","2000",2002,257.4,0.23166
"66001","3","5000",2002,723.4,0.65106
"66001","3","10000",2002,1401.2,1.26108
"66001","2","200",2003,3000.6,2.70054
"66001","2","400",2003,4148.8,3.73392
"66001","2","1000",2003,8412.2,7.57098
"66001","2","2000",2003,21291.8,19.16262
"66001","2","5000",2003,54643.4,49.17906
"66001","2","10000",2003,106172.2,95.55498
"66001","4","200",2003,682,0.6138
"66001","4","400",2003,1354,1.2186
"66001","4","1000",2003,4366,3.9294
"66001","4","2000",2003,7108,6.3972
"66001","4","5000",2003,20508.8,18.45792
"66001","4","10000",2003,69157.4,62.24166
"66001","5","200",2003,170,0.153
"66001","5","400",2003,242,0.2178
"66001","5","1000",2003,485,0.4365
"66001","5","2000",2003,1266.4,1.13976
"66001","5","5000",2003,2572,2.3148
"66001","5","10000",2003,5585,5.0265
"66001","6","200",2003,13160.4,11.84436
"66001","6","400",2003,28307.2,25.47648
"66001","6","1000",2003,73230.8,65.90772
"66001","6","2000",2003,149080.8,134.17272
"66001","6","5000",2003,411802.4,370.62216
"66001","6","10000",2003,951937.8,856.74402
"66001","1","200",2003,0,0
"66001","1","400",2003,2,0.0018
"66001","1","1000",2003,63.2,0.05688
"66001","1","2000",2003,185.2,0.16668
"66001","1","5000",2003,1773.8,1.59642
"66001","1","10000",2003,3152,2.8368
"66001","7","200",2003,351,0.3159
"66001","7","400",2003,834,0.7506
"66001","7","1000",2003,1696,1.5264
"66001","7","2000",2003,2917,2.6253
"66001","7","5000",2003,7414.8,6.67332
"66001","7","10000",2003,19145.2,17.23068
"66001","3","200",2003,29,0.0261
"66001","3","400",2003,37,0.0333
"66001","3","1000",2003,176.8,0.15912
"66001","3","2000",2003,260.8,0.23472
"66001","3","5000",2003,722.8,0.65052
"66001","3","10000",2003,1392.4,1.25316
"66001","2","200",2004,3007.4,2.70666
"66001","2","400",2004,4183.2,3.76488
"66001","2","1000",2004,8533.8,7.68042
"66001","2","2000",2004,21419.2,19.27728
"66001","2","5000",2004,54809.6,49.32864
"66001","2","10000",2004,106420.8,95.77872
"66001","4","200",2004,682,0.6138
"66001","4","400",2004,1354,1.2186
"66001","4","1000",2004,4362,3.9258
"66001","4","2000",2004,7104,6.3936
"66001","4","5000",2004,20501.2,18.45108
"66001","4","10000",2004,69143.6,62.22924
"66001","5","200",2004,170,0.153
"66001","5","400",2004,242,0.2178
"66001","5","1000",2004,485,0.4365
"66001","5","2000",2004,1260.6,1.13454
"66001","5","5000",2004,2566,2.3094
"66001","5","10000",2004,5579,5.0211
"66001","6","200",2004,13153.6,11.83824
"66001","6","400",2004,28273.8,25.44642
"66001","6","1000",2004,73110.2,65.79918
"66001","6","2000",2004,148960.2,134.06418
"66001","6","5000",2004,411632.6,370.46934
"66001","6","10000",2004,951667.2,856.50048
"66001","1","200",2004,0,0
"66001","1","400",2004,2,0.0018
"66001","1","1000",2004,62.8,0.05652
"66001","1","2000",2004,184.8,0.16632
"66001","1","5000",2004,1775.2,1.59768
"66001","1","10000",2004,3168,2.8512
"66001","7","200",2004,351,0.3159
"66001","7","400",2004,834,0.7506
"66001","7","1000",2004,1696,1.5264
"66001","7","2000",2004,2917,2.6253
"66001","7","5000",2004,7431.2,6.68808
"66001","7","10000",2004,19179.8,17.26182
"66001","3","200",2004,29,0.0261
"66001","3","400",2004,36,0.0324
"66001","3","1000",2004,180.2,0.16218
"66001","3","2000",2004,264.2,0.23778
"66001","3","5000",2004,722.2,0.64998
"66001","3","10000",2004,1383.6,1.24524
"66001","2","200",2005,3014.2,2.71278
"66001","2","400",2005,4217.6,3.79584
"66001","2","1000",2005,8655.4,7.78986
"66001","2","2000",2005,21546.6,19.39194
"66001","2","5000",2005,54975.8,49.47822
"66001","2","10000",2005,106669.4,96.00246
"66001","4","200",2005,682,0.6138
"66001","4","400",2005,1354,1.2186
"66001","4","1000",2005,4358,3.9222
"66001","4","2000",2005,7100,6.39
"66001","4","5000",2005,20493.6,18.44424
"66001","4","10000",2005,69129.8,62.21682
"66001","5","200",2005,170,0.153
"66001","5","400",2005,242,0.2178
"66001","5","1000",2005,485,0.4365
"66001","5","2000",2005,1254.8,1.12932
"66001","5","5000",2005,2560,2.304
"66001","5","10000",2005,5573,5.0157
"66001","6","200",2005,13146.8,11.83212
"66001","6","400",2005,28240.4,25.41636
"66001","6","1000",2005,72989.6,65.69064
"66001","6","2000",2005,148839.6,133.95564
"66001","6","5000",2005,411462.8,370.31652
"66001","6","10000",2005,951396.6,856.25694
"66001","1","200",2005,0,0
"66001","1","400",2005,2,0.0018
"66001","1","1000",2005,62.4,0.05616
"66001","1","2000",2005,184.4,0.16596
"66001","1","5000",2005,1776.6,1.59894
"66001","1","10000",2005,3184,2.8656
"66001","7","200",2005,351,0.3159
"66001","7","400",2005,834,0.7506
"66001","7","1000",2005,1696,1.5264
"66001","7","2000",2005,2917,2.6253
"66001","7","5000",2005,7447.6,6.70284
"66001","7","10000",2005,19214.4,17.29296
"66001","3","200",2005,29,0.0261
"66001","3","400",2005,35,0.0315
"66001","3","1000",2005,183.6,0.16524
"66001","3","2000",2005,267.6,0.24084
"66001","3","5000",2005,721.6,0.64944
"66001","3","10000",2005,1374.8,1.23732
"66001","2","200",2006,3021,2.7189
"66001","2","400",2006,4252,3.8268
"66001","2","1000",2006,8777,7.8993
"66001","2","2000",2006,21674,19.5066
"66001","2","5000",2006,55142,49.6278
"66001","2","10000",2006,106918,96.2262
"66001","4","200",2006,682,0.6138
"66001","4","400",2006,1354,1.2186
"66001","4","1000",2006,4354,3.9186
"66001","4","2000",2006,7096,6.3864
"66001","4","5000",2006,20486,18.4374
"66001","4","10000",2006,69116,62.2044
"66001","5","200",2006,170,0.153
"66001","5","400",2006,242,0.2178
"66001","5","1000",2006,485,0.4365
"66001","5","2000",2006,1249,1.1241
"66001","5","5000",2006,2554,2.2986
"66001","5","10000",2006,5567,5.0103
"66001","6","200",2006,13140,11.826
"66001","6","400",2006,28207,25.3863
"66001","6","1000",2006,72869,65.5821
"66001","6","2000",2006,148719,133.8471
"66001","6","5000",2006,411293,370.1637
"66001","6","10000",2006,951126,856.0134
"66001","1","200",2006,0,0
"66001","1","400",2006,2,0.0018
"66001","1","1000",2006,62,0.0558
"66001","1","2000",2006,184,0.1656
"66001","1","5000",2006,1778,1.6002
"66001","1","10000",2006,3200,2.88
"66001","7","200",2006,351,0.3159
"66001","7","400",2006,834,0.7506
"66001","7","1000",2006,1696,1.5264
"66001","7","2000",2006,2917,2.6253
"66001","7","5000",2006,7464,6.7176
"66001","7","10000",2006,19249,17.3241
"66001","3","200",2006,29,0.0261
"66001","3","400",2006,34,0.0306
"66001","3","1000",2006,187,0.1683
"66001","3","2000",2006,271,0.2439
"66001","3","5000",2006,721,0.6489
"66001","3","10000",2006,1366,1.2294
"66001","2","200",2007,3030,2.727
"66001","2","400",2007,4293.4,3.86406
"66001","2","1000",2007,8860.2,7.97418
"66001","2","2000",2007,21790.6,19.61154
"66001","2","5000",2007,55347,49.8123
"66001","2","10000",2007,107272,96.5448
"66001","4","200",2007,679.4,0.61146
"66001","4","400",2007,1351.4,1.21626
"66001","4","1000",2007,4348.8,3.91392
"66001","4","2000",2007,7090.8,6.38172
"66001","4","5000",2007,20465.8,18.41922
"66001","4","10000",2007,68931,62.0379
"66001","5","200",2007,172.6,0.15534
"66001","5","400",2007,244.6,0.22014
"66001","5","1000",2007,487.6,0.43884
"66001","5","2000",2007,1251.6,1.12644
"66001","5","5000",2007,2571.4,2.31426
"66001","5","10000",2007,5740.2,5.16618
"66001","6","200",2007,13131,11.8179
"66001","6","400",2007,28165.6,25.34904
"66001","6","1000",2007,72788.6,65.50974
"66001","6","2000",2007,148607,133.7463
